latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-5.057,-45.514,308.8,1.3,1.1,2016-10-18,01:45,T,63,5.0       ,292.8,13.8
-5.373,-48.035,308.9,1,1,2016-10-18,01:45,T,63,5.0       ,294.5,10.3
-5.787,-51.42,330.6,1.2,1.1,2016-10-18,01:45,T,100,5.0       ,293.1,48.8
-5.789,-51.43,312.2,1.2,1.1,2016-10-18,01:45,T,78,5.0       ,292.7,18.3
-5.777,-51.421,309.1,1.2,1.1,2016-10-18,01:45,T,64,5.0       ,292,14.8
-5.779,-51.432,310.2,1.2,1.1,2016-10-18,01:45,T,70,5.0       ,291.2,16.4
-4.746,-44.543,313,1.5,1.2,2016-10-18,01:45,T,80,5.0       ,293.4,23.7
-4.923,-45.715,309.8,1.3,1.1,2016-10-18,01:45,T,68,5.0       ,286.8,15.8
-5.125,-47.263,318.8,1.1,1,2016-10-18,01:45,T,97,5.0       ,291.9,25.4
-5.07,-46.947,306.7,1.1,1,2016-10-18,01:45,T,48,5.0       ,283.7,13.4
-5.533,-50.533,305.7,1.1,1,2016-10-18,01:45,T,36,5.0       ,292.1,9.4
-4.6,-44.423,323.2,1.6,1.2,2016-10-18,01:45,T,100,5.0       ,293.7,47.4
-4.602,-44.437,312.8,1.6,1.2,2016-10-18,01:45,T,80,5.0       ,293.3,24.5
-4.593,-44.889,305.1,1.4,1.2,2016-10-18,01:45,T,16,5.0       ,293.7,9.5
-4.587,-44.883,306.2,1.4,1.2,2016-10-18,01:45,T,43,5.0       ,293.8,12
-4.649,-45.382,308.7,1.3,1.1,2016-10-18,01:45,T,62,5.0       ,293.2,14.6
-5.208,-49.524,308.5,1,1,2016-10-18,01:45,T,61,5.0       ,291.2,11.1
-5.239,-50.403,307.5,1.1,1,2016-10-18,01:45,T,54,5.0       ,292.9,10.8
-4.741,-47.353,309.9,1.1,1,2016-10-18,01:45,T,68,5.0       ,295,11.8
-4.743,-47.363,306.4,1.1,1,2016-10-18,01:45,T,44,5.0       ,294.8,8.4
-4.734,-47.364,312.9,1.1,1,2016-10-18,01:45,T,80,5.0       ,295.2,14.8
-4.735,-47.374,305.2,1.1,1,2016-10-18,01:45,T,3,5.0       ,294.4,6.9
-13.517,-46.837,307.4,1,1,2016-10-18,01:45,T,46,5.0       ,297.2,7.1
-13.709,-48.206,307.4,1,1,2016-10-18,01:45,T,24,5.0       ,294.6,8.8
-13.711,-48.215,306.6,1,1,2016-10-18,01:45,T,44,5.0       ,293.8,8.6
-14.112,-51.313,310.8,1.6,1.2,2016-10-18,01:45,T,72,5.0       ,295.9,21.7
-14.101,-51.315,322.3,1.6,1.2,2016-10-18,01:45,T,100,5.0       ,295.6,46.6
-13.502,-46.923,309.4,1,1,2016-10-18,01:45,T,35,5.0       ,295.4,9.3
-13.503,-46.933,312.7,1,1,2016-10-18,01:45,T,72,5.0       ,296.3,12.9
-13.493,-46.925,308.8,1,1,2016-10-18,01:45,T,32,5.0       ,295.5,8.6
-13.494,-46.934,328,1,1,2016-10-18,01:45,T,100,5.0       ,295.7,31.1
-14.161,-51.984,306.2,1.7,1.3,2016-10-18,01:45,T,43,5.0       ,295,15.2
-13.688,-49.848,317.5,1.2,1.1,2016-10-18,01:45,T,94,5.0       ,294.2,26.8
-12.484,-42.699,315.4,1.5,1.2,2016-10-18,01:45,T,88,5.0       ,293.6,33.2
-13.655,-50.856,305.4,1.4,1.2,2016-10-18,01:45,T,31,5.0       ,294.6,11.5
-13.342,-49.548,307.5,1.2,1.1,2016-10-18,01:45,T,44,5.0       ,292.2,14.9
-13.555,-51.424,310.5,1.6,1.2,2016-10-18,01:45,T,71,5.0       ,295.9,18.9
-13.557,-51.438,334,1.6,1.2,2016-10-18,01:45,T,100,5.0       ,297.8,76.1
-13.546,-51.439,312.6,1.6,1.2,2016-10-18,01:45,T,79,5.0       ,296.2,24
-13.251,-49.31,306.3,1.1,1.1,2016-10-18,01:45,T,21,5.0       ,286.2,18.1
-12.813,-46.294,311,1,1,2016-10-18,01:45,T,73,5.0       ,296.2,11
-12.815,-46.303,340.6,1,1,2016-10-18,01:45,T,100,5.0       ,298.8,51.9
-12.816,-46.312,328.9,1,1,2016-10-18,01:45,T,100,5.0       ,297,32.3
-12.865,-46.782,308.2,1,1,2016-10-18,01:45,T,59,5.0       ,295.3,9.1
-12.666,-45.537,306.7,1.1,1,2016-10-18,01:45,T,48,5.0       ,291.7,12.2
-12.662,-45.577,306.3,1.1,1,2016-10-18,01:45,T,44,5.0       ,290.6,11.5
-13.165,-49.82,310.6,1.2,1.1,2016-10-18,01:45,T,71,5.0       ,295.3,20.7
-13.47,-53.714,311.9,2.3,1.5,2016-10-18,01:45,T,77,5.0       ,286.4,48
-12.734,-48.524,307,1.1,1,2016-10-18,01:45,T,28,5.0       ,296.5,6.6
-13.382,-54.085,305.3,2.5,1.5,2016-10-18,01:45,T,28,5.0       ,281,40.1
-13.024,-51.559,323.3,1.6,1.2,2016-10-18,01:45,T,100,5.0       ,283.4,61.7
-12.685,-49.661,306.9,1.2,1.1,2016-10-18,01:45,T,50,5.0       ,296.1,10.3
-12.532,-48.921,325.7,1.1,1,2016-10-18,01:45,T,59,5.0       ,294.7,40.9
-12.215,-46.802,305.6,1,1,2016-10-18,01:45,T,27,5.0       ,294.4,9.2
-12.546,-49.914,313.6,1.2,1.1,2016-10-18,01:45,T,83,5.0       ,296.3,18
-11.949,-46.677,313.6,1,1,2016-10-18,01:45,T,43,5.0       ,293.6,18.2
-12.16,-48.634,314.3,1.1,1,2016-10-18,01:45,T,50,5.0       ,289.2,20.5
-12.151,-48.635,314.6,1.1,1,2016-10-18,01:45,T,71,5.0       ,294.9,18.8
-12.417,-51.107,306.8,1.4,1.2,2016-10-18,01:45,T,48,5.0       ,292.8,15.7
-12.575,-52.445,323,1.8,1.3,2016-10-18,01:45,T,100,5.0       ,294.7,60.7
-12.064,-49.347,308.4,1.1,1.1,2016-10-18,01:45,T,61,5.0       ,296.2,9.5
-12.065,-49.357,308.5,1.1,1.1,2016-10-18,01:45,T,60,5.0       ,295.8,9.8
-11.911,-48.295,338.2,1,1,2016-10-18,01:45,T,100,5.0       ,299.1,48.4
-11.913,-48.304,326.2,1,1,2016-10-18,01:45,T,100,5.0       ,297.6,28.9
-11.901,-48.287,306.5,1,1,2016-10-18,01:45,T,20,5.0       ,296,6.1
-11.902,-48.296,328.7,1,1,2016-10-18,01:45,T,100,5.0       ,297,32.7
-11.903,-48.305,309.1,1,1,2016-10-18,01:45,T,62,5.0       ,296.2,8.5
-12.272,-51.106,320.9,1.4,1.2,2016-10-18,01:45,T,100,5.0       ,295.3,37.5
-11.93,-48.559,325.1,1,1,2016-10-18,01:45,T,100,5.0       ,297.6,30.1
-11.932,-48.568,317.5,1,1,2016-10-18,01:45,T,93,5.0       ,295.4,19.7
-12.019,-49.194,306.8,1.1,1,2016-10-18,01:45,T,48,5.0       ,296.3,8.7
-12.266,-51.1,318.6,1.4,1.2,2016-10-18,01:45,T,96,5.0       ,295.2,31.9
-12.268,-51.113,309.9,1.4,1.2,2016-10-18,01:45,T,69,5.0       ,292.6,17.6
-11.069,-43.341,310.7,1.5,1.2,2016-10-18,01:45,T,72,5.0       ,296.3,20.3
-11.072,-43.355,311.2,1.5,1.2,2016-10-18,01:45,T,74,5.0       ,296.3,20
-12.199,-51.256,319.1,1.4,1.2,2016-10-18,01:45,T,98,5.0       ,295.4,34.6
-12.201,-51.269,305.4,1.5,1.2,2016-10-18,01:45,T,27,5.0       ,294.3,10.9
-11.066,-43.348,319.6,1.5,1.2,2016-10-18,01:45,T,99,5.0       ,297,37.4
-12.196,-51.262,313.5,1.4,1.2,2016-10-18,01:45,T,82,5.0       ,293.6,24.2
-11.056,-43.35,306.2,1.5,1.2,2016-10-18,01:45,T,43,5.0       ,295.1,13.4
